Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
40874032,"Vicious (Villains, #1)",V.E. Schwab,"Schwab, V.E.",,"=""""","=""""",0,4.22,Tor Books,Kindle Edition,366,2013,2013,,2023/03/26,to-read,to-read (#29),to-read,,,,0,0
29939230,"A Conjuring of Light (Shades of Magic, #3)",V.E. Schwab,"Schwab, V.E.",,"=""0765387468""","=""9780765387462""",0,4.32,Tor,Hardcover,624,2017,2017,,2023/03/26,to-read,to-read (#28),to-read,,,,0,0
20764879,"A Gathering of Shadows (Shades of Magic, #2)",V.E. Schwab,"Schwab, V.E.",,"=""0765376474""","=""9780765376473""",0,4.22,Tor,Hardcover,512,2016,2016,,2023/03/26,to-read,to-read (#27),to-read,,,,0,0
43132514,"Good-Bye, Heron #1",ymz,"ymz, ymz",,"=""""","=""""",0,3.42,PRINTEMPS PUBLISHING,Kindle Edition,43,2018,,2023/03/26,2022/12/28,,,read,,,,1,0
51029834,The Invisible Life of Addie LaRue,V.E. Schwab,"Schwab, V.E.",,"=""""","=""""",5,4.20,Tor Books,Kindle Edition,448,2020,2020,2023/03/26,2023/03/15,,,read,,,,1,0
60845564,"Hide (Detective Harriet Foster, #1)",Tracy    Clark,"Clark, Tracy",,"=""1542037581""","=""9781542037587""",4,4.16,Thomas & Mercer,Kindle Edition,377,2023,2023,2023/03/08,2023/03/08,,,read,,,,1,0
58267955,"The Eye of the World (The Wheel of Time, #1)",Robert Jordan,"Jordan, Robert",,"=""""","=""""",0,4.19,Tor Books,Kindle Edition,753,2009,1990,,2021/12/27,currently-reading,currently-reading (#6),currently-reading,,,,1,0
7332,The Silmarillion,J.R.R. Tolkien,"Tolkien, J.R.R.","Christopher Tolkien, Ted Nasmith","=""0618391118""","=""9780618391110""",0,4.00,Houghton Mifflin Company,Hardcover,386,2004,1977,,2022/12/24,currently-reading,currently-reading (#5),currently-reading,,,,1,0
16948,"Children of God (The Sparrow, #2)",Mary Doria Russell,"Russell, Mary Doria",,"=""044900483X""","=""9780449004838""",5,4.08,Fawcett Books,Paperback,451,1999,1998,2022/12/24,2019/05/21,,,read,,,,1,0
496061,The Book of Call & Response (First Steps in Music series),John M. Feierabend,"Feierabend, John M.",Tim Caton,"=""1579992153""","=""9781579992156""",5,3.75,GIA Publications,Paperback,88,2003,1997,,2022/12/24,,,read,,,,1,0
1362700,"150 American Folk Songs: To Sing, Read and Play",Katalin Komlos,"Komlos, Katalin",,"=""0913932043""","=""9780913932049""",5,4.13,Boosey & Hawkes,Paperback,136,2004,2004,,2022/12/24,,,read,,,,1,0
864675,Marsupial Sue,John Lithgow,"Lithgow, John",Jack E. Davis,"=""0689843941""","=""9780689843945""",5,3.84,Simon & Schuster Books for Young Readers,Hardcover,40,2001,2001,,2022/12/24,,,read,,,,1,0
496060,The Book of Echo Songs (First Steps in Music series),John M. Feierabend,"Feierabend, John M.",Tim Caton,"=""1579992145""","=""9781579992149""",5,4.13,GIA Publications,Paperback,88,2003,1997,,2022/12/24,,,read,,,,1,0
496062,The Book of Beginning Circle Games (First Steps in Music series),John M. Feierabend,"Feierabend, John M.",,"=""1579992668""","=""9781579992668""",5,4.30,GIA Publications,Paperback,84,2004,2004,,2022/12/24,,,read,,,,1,0
342040,The Book of Songs & Rhymes with Beat Motions: Let's Clap Our Hands Together (First Steps in Music series),John M. Feierabend,"Feierabend, John M.",,"=""1579992676""","=""9781579992675""",5,4.20,GIA Publications,Paperback,142,2004,2004,,2022/12/24,,,read,,,,1,0
2469023,The Book of Movement Exploration: Can You Move Like This? (First Steps in Music series),John M. Feierabend,"Feierabend, John M.",Jane Kahan,"=""1579992641""","=""9781579992644""",5,4.61,GIA Publications,Paperback,66,2004,2004,,2022/12/24,,,read,,,,1,0
17571564,"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Allie Brosh,"Brosh, Allie",,"=""1451666179""","=""9781451666175""",5,4.16,Touchstone Books,Paperback,371,2013,2013,,2022/12/24,,,read,,,,1,0
25677571,Born with Teeth,Kate Mulgrew,"Mulgrew, Kate",,"=""0316334324""","=""9780316334327""",5,3.92,Back Bay Books,Paperback,320,2016,2015,,2022/12/24,,,read,,,,1,0
51323365,Solutions and Other Problems,Allie Brosh,"Brosh, Allie",,"=""1982156945""","=""9781982156947""",5,4.21,Gallery Books,Hardcover,519,2020,2020,,2022/12/24,,,read,,,,1,0
24938,Wicked - Piano/Vocal Arrangement,Stephen Schwartz,"Schwartz, Stephen",,"=""063407881X""","=""9780634078811""",5,4.45,Hal Leonard,Paperback,122,2004,2004,,2022/12/24,,,read,,,,1,0
55711622,¡Hola Papi!: How to Come Out in a Walmart Parking Lot and Other Life Lessons,John Paul Brammer,"Brammer, John Paul",,"=""1982141492""","=""9781982141493""",5,4.06,Simon & Schuster,Hardcover,214,2021,2021,,2022/12/24,,,read,,,,1,0
9364729,Eloquent Ruby (Addison-Wesley Professional Ruby Series),Russ Olsen,"Olsen, Russ",,"=""0321584104""","=""9780321584106""",5,4.35,Addison-Wesley Professional,Paperback,448,2011,2011,,2022/12/24,,,read,,,,1,0
762462,One Up On Wall Street: How to Use What You Already Know to Make Money in the Market,Peter Lynch,"Lynch, Peter",,"=""0743200403""","=""9780743200400""",0,4.27,Simon & Schuster,Paperback,304,2000,1988,,2022/12/24,currently-reading,currently-reading (#4),currently-reading,,,,1,0
39786109,Attack on Titan Season 1 Part 1 Manga Box Set (Attack on Titan Manga Box Sets),Hajime Isayama,"Isayama, Hajime",,"=""1632366991""","=""9781632366993""",5,4.59,Kodansha Comics,Paperback,784,2018,,,2022/12/24,,,read,,,,1,0
59742258,Hadestown Vocal Selections,Anaïs Mitchell,"Mitchell, Anaïs",,"=""1705149766""","=""9781705149768""",5,4.70,Hal Leonard,Paperback,128,2021,,,2022/12/24,,,read,,,,1,0
29516018,Hamilton - Vocal Selections,Lin-Manuel Miranda,"Miranda, Lin-Manuel",,"=""1495057542""","=""9781495057540""",5,4.67,Hal Leonard,Paperback,200,2016,,,2022/12/24,,,read,,,,1,0
52757974,"Spy x Family, Vol. 1 (Spy × Family, #1)",Tatsuya Endo,"Endo, Tatsuya",Casey Loe,"=""1974715469""","=""9781974715466""",5,4.49,VIZ Media LLC,Paperback,220,2020,2019,,2022/12/24,,,read,,,,1,0
51169203,"Jujutsu Kaisen, Vol. 02",Gege Akutami,"Akutami, Gege",,"=""1974710033""","=""9781974710034""",5,4.49,VIZ Media LLC,Paperback,192,2020,2018,,2022/12/24,,,read,,,,1,0
44451887,"Jujutsu Kaisen, Vol. 01",Gege Akutami,"Akutami, Gege",,"=""1974710025""","=""9781974710027""",5,4.53,VIZ Media LLC,Paperback,192,2019,2018,,2022/12/24,,,read,,,,1,0
34852843,Death Note (All-in-One Edition),Tsugumi Ohba,"Ohba, Tsugumi",Takeshi Obata,"=""1421597713""","=""9781421597713""",5,4.53,VIZ Media LLC,Paperback,2400,2017,2006,,2022/12/24,,,read,,,,1,0
54396851,"Jujutsu Kaisen, Vol. 0: Blinding Darkness",Gege Akutami,"Akutami, Gege",,"=""1974720144""","=""9781974720149""",5,4.54,VIZ Media LLC,Paperback,200,2021,2018,,2022/12/24,,,read,,,,1,0
55711431,"Dick Fight Island, Vol. 1 (1)",Reibun Ike,"Ike, Reibun",,"=""1974717208""","=""9781974717200""",5,3.90,SuBLime,Paperback,202,2021,2019,,2022/12/24,,,read,,,,1,0
58438408,"Dick Fight Island, Vol. 2 (2)",Reibun Ike,"Ike, Reibun",,"=""197472655X""","=""9781974726554""",5,3.92,SuBLime,Paperback,218,2022,2021,,2022/12/24,,,read,,,,1,0
60753258,Alive at the End of the World,Saeed Jones,"Jones, Saeed",D.A. Powell,"=""1566896517""","=""9781566896511""",5,4.37,Coffee House Press,Paperback,104,2022,2022,,2022/12/24,,,read,,,,1,0
60427057,Mirror in the Sky: The Life and Music of Stevie Nicks,Simon Morrison,"Morrison, Simon",,"=""0520304438""","=""9780520304437""",0,3.49,University of California Press,Hardcover,264,2022,2022,,2022/12/24,currently-reading,currently-reading (#3),currently-reading,,,,1,0
43810650,"A Crash of Fate (Star Wars: Galaxy's Edge, #1)",Zoraida Córdova,"Córdova, Zoraida",,"=""""","=""""",0,3.59,Disney-Lucasfilm Press,Hardcover,347,2019,2019,,2022/12/24,to-read,to-read (#26),to-read,,,,0,0
40604754,"Heir to the Empire (Star Wars: The Thrawn Trilogy, #1)",Timothy Zahn,"Zahn, Timothy",,"=""""","=""""",0,4.16,Del Rey,Kindle Edition,434,2011,1991,,2022/12/24,to-read,to-read (#25),to-read,,,,0,0
320326,Shatterpoint (Star Wars),Matthew Woodring Stover,"Stover, Matthew Woodring",,"=""0345455746""","=""9780345455741""",5,3.87,Random House Worlds,Mass Market Paperback,419,2003,2003,,2022/12/24,,,read,,,,1,0
77787,"Specter of the Past (Star Wars: The Hand of Thrawn Duology, #1)",Timothy Zahn,"Zahn, Timothy",,"=""0553298046""","=""9780553298048""",0,4.01,Spectra,Mass Market Paperback,386,1998,1997,,2022/12/24,to-read,to-read (#24),to-read,,,,0,0
57109107,The Lincoln Highway,Amor Towles,"Towles, Amor",,"=""0735222355""","=""9780735222359""",0,4.23,Viking,Hardcover,576,2021,2021,,2022/01/05,to-read,to-read (#23),to-read,,,,0,0
7260188,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,"Collins, Suzanne",,"=""0439023513""","=""9780439023511""",0,4.08,Scholastic Press,Hardcover,390,2010,2010,2012/01/01,2022/01/05,,,read,,,,1,0
6148028,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,"Collins, Suzanne",,"=""0439023491""","=""9780439023498""",0,4.32,Scholastic Press,Hardcover,391,2009,2009,2012/01/01,2022/01/05,,,read,,,,1,0
2767052,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,"Collins, Suzanne",,"=""0439023483""","=""9780439023481""",0,4.33,Scholastic Press,Hardcover,374,2008,2008,2012/01/01,2022/01/05,,,read,,,,2,0
17199504,"The Bone Season (The Bone Season, #1)",Samantha    Shannon,"Shannon, Samantha",,"=""1620401398""","=""9781620401392""",0,3.81,Bloomsbury USA,Hardcover,466,2013,2013,,2021/12/27,to-read,to-read (#22),to-read,,,,0,0
58446721,The Power of Regret: How Looking Backward Moves Us Forward,Daniel H. Pink,"Pink, Daniel H.",,"=""0735210659""","=""9780735210653""",0,3.85,Riverhead Books,Hardcover,239,2022,2022,,2021/12/27,to-read,to-read (#21),to-read,,,,0,0
58437521,The Candy House,Jennifer Egan,"Egan, Jennifer",,"=""1476716765""","=""9781476716763""",0,3.65,Scribner,Hardcover,352,2022,2022,,2021/12/27,to-read,to-read (#20),to-read,,,,0,0
57926137,Black Cake,Charmaine Wilkerson,"Wilkerson, Charmaine",,"=""""","=""""",0,4.11,Ballantine Books,Hardcover,385,2022,2022,,2021/12/27,to-read,to-read (#19),to-read,,,,0,0
26895161,"Life Debt (Star Wars: Aftermath, #2)",Chuck Wendig,"Wendig, Chuck",,"=""1101966939""","=""9781101966938""",0,3.73,Del Rey,Hardcover,430,2016,2016,,2020/01/07,to-read,to-read (#18),to-read,,,,0,0
